,order_id,payment_sequential,payment_type,payment_installments,payment_value
0,u6rPMRAYIGig,1,credit_card,2,155.77
1,ohY8f4FEbX19,1,credit_card,1,4.07
2,bBG1T89mlY8W,1,credit_card,3,14.76
3,kUkQCFPtDvrC,1,credit_card,2,342.02
4,eV98svHRmPNG,1,credit_card,5,48.71
5,b2tsoISX5lnP,1,credit_card,1,204.4
6,O0D3th8M88nF,1,credit_card,3,997.37
7,yBTGlSf8GGMV,1,credit_card,3,204.62
8,OoHJ0WBqlxln,1,credit_card,2,57.57
9,j4hiZpWSGa1T,1,credit_card,3,4.18
10,CKtqZeTFa6Ov,1,credit_card,1,50.78
11,e7xeH7PfGWFM,1,credit_card,1,158.58
12,y7ICBanZzdHp,1,credit_card,4,162.62
13,bZFqy2PEMhhc,1,credit_card,1,159.82
14,ub5scd3uMflH,1,credit_card,1,277.25
15,yAmRuBPWp1vO,1,credit_card,6,372.19
16,srKcniC9yOFm,1,credit_card,4,134.66
17,2Jbr1MhEmkIs,1,credit_card,3,399.22
18,Tb14VgvCwPuw,1,credit_card,3,42.73
19,KKm2sesYGRq8,1,credit_card,1,109.59
20,dwJNR7yxYRLb,1,credit_card,6,97.98
21,86uPyTFO0VnJ,1,credit_card,4,271.86
22,KOTqFLF3sprZ,1,credit_card,5,110.12
23,lRPOThT61ZfO,1,credit_card,1,244.38
24,25pQorIsT9XG,1,credit_card,2,62.6
25,CA0KeXrOx4Va,1,credit_card,1,12.1
26,KnUNh8bnaKd9,1,credit_card,1,17.72
27,D5YWaLz32bm9,1,credit_card,3,51.94
28,XhmzJrChXt1C,2,credit_card,6,215.05
29,xyukk6AHT526,1,credit_card,4,108.86
30,8LH9cFjaFFLw,1,credit_card,10,144.31
31,pvYF1MU8i064,1,credit_card,1,131.43
32,iUEMkbaTWXER,1,credit_card,1,131.43
33,u49f51uCjN3j,1,credit_card,3,721.74
34,Whn3HZ9xudbF,1,credit_card,1,175.54
35,UuMDtqNcmyUC,1,credit_card,1,484.8
36,v5gjarBxJsbo,1,credit_card,1,803.04
37,3TVHEQZQTpNK,1,credit_card,1,233.05
38,hJq9LTbltF0f,1,credit_card,1,419.94
39,LB5ptHNQKAFz,1,credit_card,2,41.17
40,cv7Hxy6CHEtO,1,credit_card,1,364.41
41,CscZnJreINZO,1,credit_card,4,120.12
42,mG9DF0eoAvGx,1,credit_card,7,107.84
43,hCbJt8U6Ww3N,1,credit_card,6,409.79
44,0llz1DKEU0D0,1,credit_card,2,281.26
45,liA5pvBYs64o,1,credit_card,1,56.87
46,KZs2qgGZoOSX,1,credit_card,2,718.09
47,RtGO0hlWZEvO,1,credit_card,1,357.28
48,v4xqa1KwmNvE,1,credit_card,2,189.92
49,g2feI21w6ZER,1,credit_card,2,94.06
50,UXFVXUDBBnN2,1,credit_card,3,9.81
51,NiYQcWqn2dx1,1,credit_card,8,24.89
52,EP3hioG5H9fK,1,credit_card,6,117.62
53,Qu1j9oOfSK6t,1,credit_card,1,1185.58
54,eNNSfcB8zJAv,1,credit_card,1,21.13
55,KBjiJXcRN9WP,1,credit_card,2,56.87
56,bVYJzm2XCyxo,1,credit_card,2,41.93
57,blIKUJKqhcAw,1,credit_card,5,259.92
58,glRonpQa8jMJ,1,credit_card,1,344.53
59,cB2f9bMTD38b,1,credit_card,1,170.6
60,GayOlUb6Vmw5,1,credit_card,6,227.74
61,9NeeIZEF4rYg,1,credit_card,10,78.18
62,zyqeRBdn2QIz,1,credit_card,8,620.56
63,ZAZc30nO7mBG,1,credit_card,1,470.38
64,0bLeA89iFL8i,1,credit_card,1,39.52
65,1jjbu6TXyRch,1,credit_card,1,24.72
66,J3NBaP7MoqMg,1,credit_card,3,617.59
67,W1NJYnYkaukv,1,credit_card,1,94.39
68,sqqcJi5UVxtn,1,credit_card,2,463.15
69,726qzHfAqEZO,1,credit_card,1,61.96
70,pKPwllWcu4W3,1,credit_card,1,625.59
71,8WTKsujGSPr0,1,credit_card,3,89.42
72,NTvOc3tRPuW5,1,credit_card,1,189.42
73,Xknxc0MlpwU6,1,credit_card,2,371.18
74,TmyZSJp1HpV7,1,credit_card,1,79.63
75,t0EtYo45Wcw7,1,credit_card,1,81.32
76,uCkWTkJzyQRA,1,credit_card,3,317.95
77,kHpIb3Vhkr2B,1,credit_card,1,118.17
78,JHwaDSRd7Yqk,1,credit_card,5,1418.86
79,PqlLQqphGWMG,1,credit_card,3,217.53
80,J8Bc43diiiwa,1,credit_card,1,746.65
81,T4K1lnPN7lH9,1,credit_card,3,24.2
82,qFGvBA8siR9C,1,credit_card,1,223.3
83,DTG8rFMgpHXy,1,credit_card,4,113.71
84,VfPfevghWKRz,1,credit_card,1,35.79
85,RrMH1HzjPDUy,1,credit_card,2,42.5
86,dgXkaqn9QIyl,1,credit_card,10,317.4
87,GkihidwfzkNV,1,credit_card,1,238.12
88,Tao6yqzZqR8i,1,credit_card,4,12.65
89,CRAW5FHTgef2,1,credit_card,5,101.55
90,hToNiABH0dXp,1,credit_card,10,97.02
91,mUZI3vHznWIA,1,credit_card,7,142.8
92,yA6ye44VAqXT,1,credit_card,3,1423.54
93,hwV9K6iZVgnh,1,credit_card,4,84.0
94,DBPnEuQDFDVb,1,credit_card,10,62.94
95,CM47ksrL2R8A,1,credit_card,1,284.06
96,6otDC7qi8cZh,1,credit_card,8,305.78
97,wq3LDwK546wG,1,credit_card,1,8.0
98,tZoVpxv5FVIH,1,credit_card,1,545.17
99,tFQGjmZndsM5,1,credit_card,1,1221.39
100,OPuvw5JcjfOh,1,credit_card,6,116.81
101,NecsYKNR6nba,1,credit_card,4,176.94
102,fnSFBmKlfG9i,1,credit_card,10,39.9
103,u2oKzCyv9sav,1,credit_card,1,222.7
104,OtV6waAZRqcN,1,credit_card,2,342.02
105,vhdr4kEZVJXi,1,credit_card,3,512.9
106,VZvjDMifWUUk,1,credit_card,3,187.08
107,GewZicdnVU4o,1,credit_card,5,503.0
108,1ADWBenqZlyI,1,credit_card,1,12.26
109,YKY495iYCoqG,1,credit_card,10,220.63
110,MV5sovfkXA3U,1,credit_card,2,126.54
111,CtWqYNGFXvab,1,credit_card,2,22.86
112,obrJjCEHkABU,1,credit_card,4,1936.99
113,WMaeamcmMFS7,1,credit_card,2,95.61
114,80zasKxvt11B,1,credit_card,2,52.11
115,HW9Ogje6AlUA,1,credit_card,10,265.5
116,O3kEwpEBakLG,1,credit_card,1,637.49
117,I54x5B7ZScB4,1,credit_card,3,36.07
118,KOrn1FCfjiwG,1,credit_card,1,235.79
119,RI0Rc1aPQdUs,1,credit_card,4,277.25
120,ATrYoxeRKpjR,1,credit_card,1,98.59
121,lD9HnSAxViqE,1,credit_card,1,367.2
122,PX1ynyV2HPjl,1,credit_card,5,150.99
123,Gwq3kXZ8MW3c,1,credit_card,1,631.71
124,W3nEEHGY8aZe,1,credit_card,3,157.28
125,mpXwWjfPlBSr,1,credit_card,6,3.44
126,xneeAgYsRUlF,1,credit_card,8,438.18
127,BRj5e8wXFtYd,1,credit_card,1,1435.97
128,fuBWf4V2Fw1v,1,credit_card,3,426.25
129,mpPCmbAGPedF,1,credit_card,3,899.99
130,yb8LxW1FVkLV,1,credit_card,15,273.54
131,7s3w2S5NqgHr,1,credit_card,1,236.47
132,nWpya4oQZL6n,1,credit_card,2,383.5
133,tytEgIj2Th3J,1,credit_card,3,447.62
134,fIrfCQsEFnE9,1,credit_card,10,123.02
135,at7rWo8KPYVJ,1,credit_card,1,143.46
136,PmfjmIs699a5,1,credit_card,10,183.16
137,Na5LA4dY4q9A,1,credit_card,10,36.23
138,AhUvxUGYsopt,1,credit_card,10,135.1
139,gI9LiRm1Ryjt,1,credit_card,1,0.91
140,8J2PSZX0Qado,1,credit_card,6,223.72
141,47UxbbQPIt5G,1,credit_card,8,212.36
142,ojnrE1j1yZNk,1,credit_card,5,674.87
143,bCo6YkJgUmME,1,credit_card,1,189.92
144,vJOB9Yahwavl,1,credit_card,1,405.83
145,tJN8rPKqcCsC,1,credit_card,2,1025.05
146,jap0obJnnAmy,1,credit_card,1,267.8
147,J20qFvYqnjav,1,credit_card,1,102.12
148,ODQVs33Hh84k,1,credit_card,1,66.46
149,xX2UiyxIPZSv,1,credit_card,3,9.27
150,FABrt78aO16I,1,credit_card,3,165.58
151,6b03hCPGdqkl,1,credit_card,8,91.58
152,aOYDktekeGQa,1,credit_card,3,155.03
153,D7VNrgEGCxnU,1,credit_card,3,395.5
154,rSLWWI0YOkKf,1,credit_card,4,130.07
155,yCkVMOcqHA1A,1,credit_card,1,118.46
156,8mIyPGLbfaH5,1,credit_card,10,465.08
157,oAESSZCHbW0s,1,credit_card,3,251.16
158,7Tm4svxqksuZ,1,credit_card,10,928.68
159,2MGiPfM1fYce,1,credit_card,10,43.72
160,boeIrCCs8kim,1,credit_card,4,95.01
161,EEGYTFIZDfBx,1,credit_card,2,66.13
162,BihLVZjmyN0H,1,credit_card,1,167.82
163,1kGGcFSFoKao,1,credit_card,6,230.14
164,eVFyR1qdF9cp,1,credit_card,2,51.44
165,ho9aYoyNRGoz,1,credit_card,2,120.28
166,vsQdmfvAWD0r,1,credit_card,1,425.79
167,NtSSqXv1Z1Wm,1,credit_card,8,318.96
168,ksOPq3lpCN7q,1,credit_card,2,245.4
169,QfDwhACQ23Xr,1,credit_card,5,234.61
170,u5AJRhmBLQtz,1,credit_card,5,83.22
171,jyNEi4sA1XHY,1,credit_card,1,116.58
172,YNo05KYxHSkK,1,credit_card,10,203.63
173,LlxtAAKjt6BB,1,credit_card,1,51.09
174,F8EbvNo4GhiG,1,credit_card,2,27.96
175,oSyS0JoHQjtO,1,credit_card,1,52.15
176,9bqV6nH4nfrW,1,credit_card,2,172.39
177,QWzeukLNfMeF,1,credit_card,1,732.29
178,mNxi2hOZpFeh,1,credit_card,4,109.3
179,Fie0ynZ7drmB,1,credit_card,1,4.07
180,M9fSx7DrrYb9,1,credit_card,3,180.29
181,AdQYiwpmbcZs,1,credit_card,3,157.21
182,6QNUKHTlKzQz,1,credit_card,2,119.38
183,FXRNx6tgp5qm,1,credit_card,1,539.88
184,bJx1zp3tvlFI,1,credit_card,1,38.34
185,yEA6uAyJrtyn,1,credit_card,3,88.72
186,sWGOVCBlIYpQ,1,credit_card,8,308.81
187,hTsd7hsjSQkN,1,credit_card,1,252.88
188,YeL4SAuZWnm6,1,credit_card,1,131.36
189,OGBnugiiwsQ7,1,credit_card,1,368.12
190,cfV2FFpdyahv,1,credit_card,3,46.28
191,qHQXGVVCHZYY,1,credit_card,1,70.63
192,xpfzksDexXMI,1,credit_card,1,489.98
193,YYNavM4ecDW5,1,credit_card,3,53.51
194,qUt5sGnfTqfO,1,credit_card,3,367.27
195,RVEKyUSqDZHV,1,credit_card,1,61.08
196,FfgsDN9OZGuM,1,credit_card,5,365.74
197,sMzZJbA97sz8,1,credit_card,4,127.54
198,oGdO8jGWtiCD,1,credit_card,1,88.49
199,R4puFrZcycnq,1,credit_card,6,72.18
200,CetUKkHYgPya,1,credit_card,1,116.95
201,0d19WT6gAay3,1,credit_card,1,589.92
202,Biqo21nETaMO,1,credit_card,3,950.0
203,hhBKG3qil2KL,1,credit_card,1,241.36
204,aDnwWyOFhEJ2,1,credit_card,2,605.56
205,C5Vs4Tb4ozNR,1,credit_card,2,191.34
206,U1mAeIP72gPD,1,credit_card,1,88.61
207,DfUyZDa86qO9,1,credit_card,8,296.08
208,ZskwlJutdrsO,1,credit_card,1,169.94
209,n2qxYfewEQFx,1,credit_card,20,43.12
210,HOR4OGRLZFAi,1,credit_card,1,39.89
211,m1LtjhIB9CsJ,1,credit_card,1,573.78
212,JXMfAIkr2GMn,1,credit_card,2,40.58
213,ao8cwuTvK450,1,credit_card,4,23.08
214,0UBmWOKw8fEf,1,credit_card,3,289.32
215,jVdQnhB1si7w,1,credit_card,3,239.52
216,Nifv0ug4fbdY,1,credit_card,1,233.8
217,BUg1mBIQpkwF,1,credit_card,4,358.04
218,46mQB8D3v9eI,1,credit_card,2,180.62
219,0DLS5w2AyhwI,1,credit_card,2,77.01
220,oVRVeW4UOiln,1,credit_card,8,267.16
221,grIIIXCxNzVS,1,credit_card,10,168.57
222,sWOapohERXHv,1,credit_card,4,190.04
223,3zQxmjW6iIQM,1,credit_card,1,176.16
224,bL1iH5RftKa5,1,credit_card,8,128.24
225,VtlAs8XD0DsD,1,credit_card,1,32.02
226,pmsiX0dmE1rH,1,credit_card,4,90.74
227,roLFENE2HITq,1,credit_card,1,38.75
228,FrhdrgQs3oNw,1,credit_card,3,57.64
229,6gqB9L4H6mTT,1,credit_card,3,52.82
230,ZEA7QmAPMVfg,1,credit_card,4,699.62
231,TJoDeQ2Xlz5v,1,credit_card,1,128.61
232,Tyqe3VkvE2ia,1,credit_card,1,97.98
233,JXMbT6I9MNoO,1,credit_card,1,27.57
234,RHC6EUl5JcR5,1,credit_card,8,407.67
235,1LQsht0oRLjV,1,credit_card,10,235.69
236,DhYtehGRi5Ft,1,credit_card,2,196.46
237,Od8slGuu4iXb,1,credit_card,3,96.3
238,XnBRhcE8kuI9,1,credit_card,3,1816.34
239,4pXD71R3zOzN,1,credit_card,1,657.05
