,order_id,payment_sequential,payment_type,payment_installments,payment_value
0,bhMwu9M1F3pM,1,debit_card,1,169.39
1,Gnt5P2sMZoDE,1,debit_card,1,191.95
2,SpFKAoPp0ilG,1,debit_card,1,33.39
3,BmKm8T53Heik,1,debit_card,1,384.78
4,DKYTTXy6VhNE,1,debit_card,1,113.66
5,E8OuxMoG0Q75,1,debit_card,1,253.07
6,I7EQbnwm1Q63,1,debit_card,1,619.44
7,6XOzvoFezTKL,1,debit_card,1,62.98
8,SmXZE8ADedCW,1,debit_card,1,148.77
9,jm7hzoBSH5ov,1,debit_card,1,219.73
10,5HzkXb6bsoEK,1,debit_card,1,126.88
11,cl3E8qDk7F1J,1,debit_card,1,6.44
12,znQ2QzFWmdUe,1,debit_card,1,228.67
13,ycbzhxgrDweN,1,debit_card,1,215.54
14,AgKHnVGNbaEV,1,debit_card,1,194.96
15,U9noRbeiI2Yt,1,debit_card,1,536.52
16,6s4ZjbMv5dRP,1,debit_card,1,35.15
17,ecZui4gMhjC2,1,debit_card,1,300.83
18,RDTh9IboDIiM,1,debit_card,1,159.77
19,9YE2SRtyD2Yr,1,debit_card,1,490.65
20,3iG6vfnanPAE,1,debit_card,1,82.82
21,TPIduialWmrE,1,debit_card,1,122.35
22,W36mKmNPnQeY,1,debit_card,1,163.84
23,lEVnBsB01Hu6,1,debit_card,1,13.43
24,92NXFE9MjDaN,1,debit_card,1,400.64
25,dDxmZojiZcRX,1,debit_card,1,42.84
26,kAYNXwxFQxA5,2,debit_card,1,1534.98
27,2vayoNxMJQc3,1,debit_card,1,249.31
28,vY4NfAZ7hhXp,1,debit_card,1,249.39
29,YK3wrXXAuj55,1,debit_card,1,9.52
30,nrBhLp3FJlXT,1,debit_card,1,205.88
31,pXzAKFiys7FH,1,debit_card,1,227.2
32,1jVKLoisXq6n,1,debit_card,1,259.03
33,hmTTm7ri5ONU,1,debit_card,1,389.0
34,8oMEvZPMVC0k,1,debit_card,1,377.7
35,G8Ufngs9T5Mn,1,debit_card,1,106.33
36,1o8I99bPPiSt,1,debit_card,1,35.88
37,wJFZ6PFVfB3x,1,debit_card,1,32.18
38,VGaEkDgWQmUU,1,debit_card,1,44.19
39,EejcDVrxBlLQ,1,debit_card,1,147.04
40,D69CKzm9gItX,1,debit_card,1,186.76
41,CMtBeBaHYkZv,1,debit_card,1,166.3
42,djVkAPuRerWp,1,debit_card,1,77.48
43,UBKzslS1MPr2,1,debit_card,1,210.92
44,0YAzMn6vW9OQ,1,debit_card,1,324.82
45,DHx5bfkS54VG,1,debit_card,1,66.46
