,order_id,payment_sequential,payment_type,payment_installments,payment_value
0,qvrK7ROfp1w6,1,voucher,1,307.86
1,RQi6usDkH0z5,7,voucher,1,120.47
2,xYh4tcmBf0pq,2,voucher,1,8.13
3,903k3PvOOCNz,1,voucher,1,161.26
4,uJxv0BlTzZKk,1,voucher,1,289.55
5,n5anh2ES0Qrx,1,voucher,1,68.39
6,2h0BGlUwGRS1,13,voucher,1,85.24
7,zgIMZEReS5B1,2,voucher,1,188.85
8,Io6QaiAgVYoZ,2,voucher,1,48.75
9,w4jk8j2fTnhw,1,voucher,1,320.61
10,q4CIb4iWNj6w,1,voucher,1,43.06
11,E93Sn1q2YqAV,2,voucher,1,5.75
12,FrByV3btkMWv,2,voucher,1,25.27
13,zErVTquqlznU,2,voucher,1,208.89
14,xiJphil15jpi,3,voucher,1,166.39
15,Jcy2W2E0Agmu,2,voucher,1,33.48
16,KYO2H5mu4Wc2,5,voucher,1,33.48
17,DAYUX6uOyR75,14,voucher,1,534.25
18,5AI7yWNtkxDG,2,voucher,1,168.6
19,OR0wt8h1DIKb,2,voucher,1,138.7
20,WWw3VcoVGQWw,3,voucher,1,1086.08
21,qMnWT2faWgwg,1,voucher,1,37.12
22,DwOeec3mPOL9,2,voucher,1,49.91
23,VLa5YZFj2W0i,1,voucher,1,1166.43
24,U39IZgP9B2Pr,2,voucher,1,39.69
25,ThqqOmxw1IuW,2,voucher,1,355.58
26,xj31p7wHOd6X,2,voucher,1,145.48
27,GFTwjcw6q56j,3,voucher,1,61.02
28,V31QKgYddF4p,1,voucher,1,34.79
29,tCK55o06SO34,2,voucher,1,30.09
30,aHzSMYk4vQMK,2,voucher,1,107.55
31,p8erECFNyNYX,10,voucher,1,25.49
32,L3T6OJnjTlXb,3,voucher,1,727.98
33,Rmc3vFluFqEi,1,voucher,1,206.2
34,e0odnJSmEDtd,2,voucher,1,193.47
35,z0ppW11jMOEz,1,voucher,1,255.33
36,GXDPr1j1Ts2p,2,voucher,1,689.93
37,ihTw90B7Ce4l,1,voucher,1,292.24
38,vymz5lkzhWAf,4,voucher,1,68.48
39,itJCIOvIStXG,2,voucher,1,699.94
40,rDmHn42asc0j,1,voucher,1,173.28
41,vf6uiRPeifs0,1,voucher,1,209.3
42,5uzvoibX8FHC,1,voucher,1,364.46
43,Y3WY9sDDUYOx,8,voucher,1,182.98
44,JpjzehQbDbkj,4,voucher,1,33.48
45,wxmystJmVnr9,2,voucher,1,193.31
46,jvf1jaFnBAOA,3,voucher,1,100.33
47,FgH3tZB0TzFU,3,voucher,1,16.67
48,EL99Y78lnlDu,2,voucher,1,10.41
49,3hThD6oeo1LZ,2,voucher,1,215.6
50,shEj3d5DgnWR,3,voucher,1,145.48
51,5yQHdJXAhRXb,1,voucher,1,33.48
52,V4vVTU7zHvzG,2,voucher,1,406.58
53,Dylnzoiyze7m,2,voucher,1,589.75
54,BVYCKGrYYMa1,2,voucher,1,798.53
55,rAiatkNN66Q0,2,voucher,1,61.06
56,1C1YRHrpcLIj,1,voucher,1,530.47
57,kXBtPluBHGRx,1,voucher,1,66.71
58,e08ASoDb0oDp,2,voucher,1,36.62
59,gnlPnWmWWtXK,10,voucher,1,128.1
60,BbOHPhWKoygI,2,voucher,1,625.78
61,NCJMUY7KMObP,10,voucher,1,41.42
62,4fh63FKBO46D,2,voucher,1,751.17
63,gApJxsGrQIVN,2,voucher,1,14.72
64,oatd1cbEalSD,2,voucher,1,294.58
65,9sKzLqMqJnRl,3,voucher,1,490.52
66,68g6h1PhBRTr,1,voucher,1,406.65
67,BUludhBjND12,7,voucher,1,124.79
68,JJUg6OMhduxM,2,voucher,1,326.92
69,2Tg52nz7wG56,2,voucher,1,15.75
70,iW3NWIgygNRY,1,voucher,1,289.55
71,Qyy10x5yg4ib,2,voucher,1,138.66
72,7zjtwlNCiwPe,2,voucher,1,274.97
73,5QorVBPTnqTo,2,voucher,1,905.18
74,5hxLNdr99XDE,2,voucher,1,317.85
75,TCUprQPRiiTe,2,voucher,1,256.77
76,6svglhuUMuyZ,6,voucher,1,13.09
77,izKm51mSVOLl,2,voucher,1,294.5
78,ON3PtgSqxuXl,2,voucher,1,272.61
79,Y71r45LCgOb1,2,voucher,1,211.4
80,WECr1gXEXfXq,1,voucher,1,182.29
81,MSAmqql1KUub,2,voucher,1,419.37
82,Bwd0ZF3ciVaS,1,voucher,1,124.14
83,VUtGz1Toq9eP,6,voucher,1,55.25
84,A7bS0aCmmDsR,1,voucher,1,381.88
85,L2tx2vj3B5Mq,2,voucher,1,447.18
86,R3DiUidVTxPv,3,voucher,1,280.89
87,MqEE2iL7v4W0,2,voucher,1,30.61
88,QSPlGFSh7jAa,18,voucher,1,89.27
89,dv0Fzty7Uk1k,3,voucher,1,138.87
90,B0yybxY84p9h,1,voucher,1,267.62
91,W3uPYwRQrSuS,1,voucher,1,12.68
92,grNe8TvcDFqJ,2,voucher,1,266.0
93,R64hYSjJL2FC,8,voucher,1,63.18
94,UiaXx9PweYHl,2,voucher,1,221.12
95,EzXMCVYuzNWk,2,voucher,1,47.46
96,F5FwCWy0pMEj,2,voucher,1,151.93
97,H9ZqBDGfoY7T,14,voucher,1,534.25
98,Bi7gqiRDuGTO,2,voucher,1,330.17
99,f3ZPze4OUtBh,2,voucher,1,5.99
100,f4cTEuiD8VrM,2,voucher,1,145.48
101,gRtjozSl8HIh,2,voucher,1,270.06
102,CLDHt94wWceI,4,voucher,1,620.44
103,PO8CNKzkjGwl,2,voucher,1,32.58
104,As8wn2RUNUVN,2,voucher,1,121.48
105,rHli0b1E7ywD,2,voucher,1,406.58
106,RGB0b5nZXWnf,1,voucher,1,106.96
107,2Ne0RDhjTpXg,1,voucher,1,183.28
108,xChNkCTsUM7V,2,voucher,1,748.34
109,bMbNujiAOK64,2,voucher,1,184.82
110,TXuYgh0UsdWy,2,voucher,1,91.07
111,cbWPuDWjVIca,2,voucher,1,1843.85
112,zyIM7fi3EJqg,4,voucher,1,119.9
113,ZUAGzqxQNwFa,2,voucher,1,220.12
114,RnizqtoeO6zO,2,voucher,1,355.11
115,AXCvIfyoeBuP,3,voucher,1,116.92
116,hqPRm1HhR8eM,2,voucher,1,73.08
117,Hng1LjO9FdRy,2,voucher,1,145.48
118,bAqq2QDXQUmW,2,voucher,1,14.12
119,NYLGuqaplSE4,3,voucher,1,145.48
120,OqbSnvefUdU3,2,voucher,1,2.86
121,vtnTBNtYYZGC,1,voucher,1,728.43
122,dHXpOO3U4Kev,1,voucher,1,182.42
123,2CjanYjq0wsM,2,voucher,1,257.37
124,W1sYQJ8w82Ff,7,voucher,1,218.98
125,UpQzLPVF9yfv,2,voucher,1,31.52
126,d5TuWe9tgJy2,8,voucher,1,55.1
127,ECKH58uIYkUI,1,voucher,1,68.39
128,dq4qP0Xb0mCB,2,voucher,1,189.63
129,7VUlUxXfXd3Q,2,voucher,1,33.48
130,gHK4TQ3fAk9R,2,voucher,1,354.52
131,jjkxxfpT259x,3,voucher,1,63.18
132,F20ZnobUfuD6,2,voucher,1,355.76
133,6mLGxIz3amRn,1,voucher,1,55.79
134,tLM6JlwrLXEz,1,voucher,1,79.21
135,okuxSKoDW2PH,1,voucher,1,51.89
136,k8JiqhffBilE,1,voucher,1,92.89
137,o6EVJXOJ3OjI,2,voucher,1,176.63
138,rwgkkARYzh9T,4,voucher,1,25.58
139,pUtKprpVFxMP,2,voucher,1,145.48
140,st3YQTa7VWs4,1,voucher,1,401.07
141,A6eQvCVk8Ekf,2,voucher,1,145.48
142,RkSUob3JnAoe,2,voucher,1,698.1
143,16fsrZy5BmuR,3,voucher,1,119.9
144,gFKODgmx55eh,1,voucher,1,413.12
145,HyWLFpf2OyUy,3,voucher,1,187.96
146,iiSiACdHPYGX,5,voucher,1,304.05
147,aEZ8lwweeBjQ,1,voucher,1,389.45
148,et2Mc3CjbcPz,2,voucher,1,617.69
149,Eosxv4pHGT2V,1,voucher,1,118.87
150,Bs8uFcm2AMdf,2,voucher,1,100.33
151,fKgNIOjnzj9P,2,voucher,1,201.09
152,HidRzqPTWQGi,1,voucher,1,12.71
153,ctiZWYbYUn1J,3,voucher,1,33.48
154,tZn9eEaCDu3f,2,voucher,1,118.75
155,2aXWZIxVTrYW,2,voucher,1,145.48
156,Qf15B6oYzcbI,5,voucher,1,33.48
157,9XlPPh3KTwxY,1,voucher,1,210.29
158,vFcAjkr5TwSq,8,voucher,1,362.95
159,KrvA9fQMLOU2,2,voucher,1,33.48
160,cQZ9MbDr9mCt,1,voucher,1,317.53
161,eziXEEAlNapF,6,voucher,1,198.55
162,LnZQYukKlUAQ,1,voucher,1,220.63
163,I43pIgEgeYNy,1,voucher,1,187.51
164,zB169Tmo2i1Q,2,voucher,1,101.54
