,order_id,payment_sequential,payment_type,payment_installments,payment_value
0,I28liQek73i2,1,wallet,1,381.59
1,CYxJJSQS8Lbo,1,wallet,1,284.09
2,uNUwbkr3jhfD,1,wallet,1,21.55
3,6J3ZtW3UMsR9,1,wallet,1,257.42
4,WCVW0rJ4udYk,1,wallet,1,118.61
5,sZG0zVMaFAXJ,1,wallet,1,195.62
6,cqbIl6jpDT2u,1,wallet,1,111.21
7,KNa3m4B9oN3I,1,wallet,1,211.82
8,LgBjaoAZT313,1,wallet,1,449.29
9,7QE67FF0Om5N,1,wallet,1,136.94
10,MHEaSt8SPeoG,1,wallet,1,414.06
11,DFJtb4hzzmHX,1,wallet,1,170.89
12,6whGhQyugS0N,1,wallet,1,150.74
13,ZPtEC8wwF6WC,1,wallet,1,69.88
14,amNpLmLRtqds,1,wallet,1,504.11
15,UGOUFp6lOvfy,1,wallet,1,903.81
16,mekmxzX7xg66,1,wallet,1,84.68
17,SPsLXC6EZB6w,1,wallet,1,50.39
18,QLqDouIaUQyr,1,wallet,1,237.31
19,GNz6cxwDUyoM,1,wallet,1,160.22
20,EzLqwURTMESq,1,wallet,1,0.74
21,vl4sZM3Me2dI,1,wallet,1,333.48
22,uKdtgTIV8ML0,1,wallet,1,167.2
23,xgFgAUrPUHEk,1,wallet,1,134.32
24,JgAkkK19yYhw,1,wallet,1,475.0
25,3CD8klhI6sv6,1,wallet,1,118.55
26,pshOBIa9uNaK,1,wallet,1,860.4
27,nblJwrll1AS0,1,wallet,1,129.32
28,3vx9j3SvRUKg,1,wallet,1,381.32
29,kVpTE6tUo9w7,1,wallet,1,1416.7
30,kyeIOoUKvoIM,1,wallet,1,187.84
31,paJO30kb5azy,1,wallet,1,96.25
32,Co6YY9CSER9B,1,wallet,1,665.87
33,jQBSgqRWOpvl,1,wallet,1,294.3
34,TKwhZWStGsmY,1,wallet,1,29.9
35,k1rQ3PIw3yYp,1,wallet,1,281.52
36,Wa1rNI8dP7zs,1,wallet,1,197.73
37,BunZbvls0n1k,1,wallet,1,320.76
38,nr3yNXzg551L,1,wallet,1,449.29
39,B1SS9cXxCf43,1,wallet,1,180.93
40,KXDoKZReRLYT,1,wallet,1,304.5
41,HkhWA2uQbJjR,1,wallet,1,303.4
42,UEMavvdMBBA8,1,wallet,1,221.79
43,6wadKo4Uu9GE,1,wallet,1,100.76
44,ZEHiCVT7ZSba,1,wallet,1,390.69
45,KHgfaMNh9uhy,1,wallet,1,61.02
46,nGdpUMWwEiJW,1,wallet,1,184.89
47,V2mJU7eydnfg,1,wallet,1,101.32
48,pX5m0O1CVY5q,1,wallet,1,35.34
49,8WYnlgMCHPfg,1,wallet,1,548.08
50,PNI2HqlPxVjC,1,wallet,1,107.01
51,Yhkot2w7WEXz,1,wallet,1,139.01
